index,feature1,feature2,feature3,feature4,target,Dataset
count,100.0,100.0,100.0,100.0,100.0,Training
mean,1.6163456790589306,1.1077630428244,1.6344265252980779,1.4930114179038503,-0.04800970136066942,Training
std,0.6482062870505296,0.5096418709764937,0.47662071817186663,0.6165815993635515,0.4437248842100805,Training
min,0.0,0.004098232723351414,0.3089436583937142,0.0,-1.0,Training
25%,1.1254133455102946,0.7794082107121518,1.3155335761169986,1.0602592631151342,-0.3319574674259772,Training
50%,1.6093815170790893,1.0987048629008611,1.6424059241881013,1.5201901800132058,-0.04148926645462153,Training
75%,2.0322252327363675,1.3669457889312795,1.90677954621674,1.921176169089552,0.23735120244938335,Training
max,3.141592653589793,3.141592653589793,2.699653563606954,3.141592653589793,1.0,Training
count,20.0,20.0,20.0,20.0,20.0,Validation
mean,1.4958936084080263,0.8057842907674966,1.369258801495589,1.387737440677226,-0.2752446361339388,Validation
std,0.4856465134739425,0.49207581116769195,0.5200854518302876,0.5371285998655868,0.32852974650759026,Validation
min,0.6153681357463991,0.0,0.0,0.5595321033900105,-0.9226659202639559,Validation
25%,1.1139127045258148,0.4771697992559739,0.9849595586251632,0.8422338200822094,-0.4636191084441992,Validation
50%,1.5434716795195667,0.7676911019443307,1.4714366659761684,1.5165914353531216,-0.320799574197191,Validation
75%,1.8324485367004169,1.1600220195264015,1.7806012505796023,1.788278054753079,-0.06840900433922689,Validation
max,2.2461479354071283,1.7497802210615037,2.066179767476486,2.3417579598727167,0.4083708911513517,Validation
count,20.0,20.0,20.0,20.0,20.0,Test
mean,1.674779918691284,0.9524996428319195,1.7154480635771843,1.2013706673585656,-0.19169331228639114,Test
std,0.5111018632855586,0.5239977669611894,0.6626041510720718,0.5370473405404493,0.37489434698828666,Test
min,0.6518572554290138,0.10627814551286863,0.5834801121766477,0.1966445552567302,-0.6872061974559514,Test
25%,1.4174854952962517,0.6001575241321864,1.302932841482391,0.8886801825852088,-0.47259961853999927,Test
50%,1.7162130234771202,0.9582727786540512,1.7011803347694205,1.2916580407788498,-0.23482623347048565,Test
75%,1.905992945098903,1.2534798616088394,2.213036074483653,1.4603912242979749,-0.042314467484042245,Test
max,2.691293605439073,2.2431355283668486,3.141592653589793,2.140333253294173,0.7139047746617713,Test
