index,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,target,Dataset
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Training
mean,1.531833465003897,1.6832154003210196,1.725522347846494,1.4675901166869383,1.6371108034134625,1.5197772052025875,1.5742348270255502,1.6072434418103267,1.4839298821284177,1.1363468902439684,-0.0683648673361717,Training
std,0.5063257493032824,0.5787536664504147,0.5716353555698205,0.7002605826692737,0.6286250000542944,0.5602866556344914,0.6299789084442013,0.5830147808568681,0.467438072137064,0.5609081045622831,0.3420047135084407,Training
min,0.41159938168134524,0.02781350141111405,0.0,0.0,0.0,0.3842947849560583,0.0,0.29889374455000706,0.3119964657680925,0.0,-1.0,Training
25%,1.1723362804791484,1.338932514656304,1.375690046685476,0.9321116680899579,1.1918369512296854,1.1245321484797248,1.1474237185467884,1.1981237580124526,1.147527107128681,0.7151352377044042,-0.2601995268842655,Training
50%,1.5922190036421364,1.6796909185824602,1.7530012435672346,1.5317470841089103,1.5643152790528592,1.4664679798057807,1.6268198567394427,1.5997650404932884,1.4755632275675243,1.0967146017860085,-0.04335170981148451,Training
75%,1.8767348217787412,2.0283348078805425,2.0596660385712977,2.006803864536564,2.161354380123983,1.9346377307675198,1.9662151722627823,1.9798495560244773,1.7718796473422098,1.4603768949760745,0.17558087349405266,Training
max,3.008915945827929,2.8014009731935805,3.141592653589793,3.141592653589793,3.0643957148760146,3.1415926535897927,2.8104261514738793,3.141592653589793,2.6541243567545196,3.1415926535897936,0.6749390637102755,Training
count,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,Validation
mean,1.6562612337611486,1.8536474093589859,1.8655134444158155,1.5829089078887755,1.7578460558868811,1.4049704687045426,1.8043739568891894,1.4405334958803495,1.4028602546204616,1.4146743286711378,0.10551731890285901,Validation
std,0.6964819826943917,0.8133036491086766,0.4688901887991036,0.629171867417054,0.5404152343055175,0.7867940219184106,0.59112543105431,0.47340223508549983,0.5711079543932208,0.37136135579271096,0.3992068554674157,Validation
min,0.0,0.3464590254011355,0.9347180911989892,0.363832679661958,1.0957249105290363,0.0,0.9061547054179658,0.0,0.5850571026783422,0.7218275396518037,-0.8321980961150742,Validation
25%,1.4190016033342527,1.3569831009957287,1.5996306473880415,1.0827709474376395,1.3394409276231762,0.8440196818004368,1.314372262755736,1.355450320321446,1.1520962550300555,1.148581593275185,-0.1177621334198155,Validation
50%,1.6316661651581987,2.0307723879377546,1.8768698535448747,1.7871196284483697,1.6243574121117952,1.3821050397851784,1.8217857761088831,1.534364239748725,1.4816666783074068,1.346432150295426,0.19731535971596703,Validation
75%,1.8948530957223728,2.3849200777417985,2.2144512571127724,1.957725022117745,2.0233943376182206,1.7837454316143313,2.0719012927489304,1.7639047634330334,1.5960478082956902,1.6833934911271078,0.28408428929828317,Validation
max,3.141592653589793,3.141592653589793,2.5932529091964636,2.626269452264162,3.141592653589794,3.025736870363554,3.141592653589793,2.057023313976741,3.141592653589793,2.17775093069921,1.0,Validation
count,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,Test
mean,1.7540307698365243,1.5910773876399749,1.9740433091070393,1.5996620788568445,1.7146854310916027,1.6395342058625364,1.690569051229361,1.4230547201616925,1.492329941927788,1.2272299528271922,0.09903185601908297,Test
std,0.5811044186132167,0.7435460364484043,0.4883913662335581,0.6108729077902456,0.5238964073038292,0.5872484886262112,0.6163639566787553,0.6650825071177947,0.5639475517094515,0.537134779617349,0.26048906861972904,Test
min,0.36291173160366963,0.0,1.1637183967710043,0.523950952441606,0.6211379551084351,0.37023378644092886,0.4057724632040858,0.27408479314451495,0.0,0.2061838396486656,-0.31474596784720044,Test
25%,1.4056723675669582,1.096333324255367,1.6105766942629107,1.2359852688666118,1.4606236712610656,1.3573751015262943,1.1082141209962555,0.8638567169845934,1.3891273121889183,0.937895602945628,-0.07430180614109488,Test
50%,1.6506589762533876,1.575685973679137,1.9161486756344444,1.5272728280912413,1.869677530370414,1.691663684841894,1.7467046016474992,1.4144065509793242,1.533455216805531,1.1827816944475904,0.043517834478950745,Test
75%,2.2005549982680384,2.0794556502778923,2.3508089943457766,1.8478890532923997,2.0732920834140707,1.8996790809857464,2.067548740521509,1.8713563861547753,1.9569519987351995,1.6869612499309259,0.32110185320180845,Test
max,2.8502151611644573,2.8981591748438698,2.886148719384451,3.065022305596258,2.3745822245629746,2.875799036339499,3.0897988401589043,2.688927826463407,2.2630529934297283,2.127441909094686,0.6705496692769877,Test
