index,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,target,Dataset
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Training
mean,1.5804873933910968,1.2424345533466363,1.6753832489428948,1.2182603111874608,1.6756482390490777,1.7094384705090024,1.632960205415295,1.5148567271655649,-0.14966985976921918,Training
std,0.5137812686563863,0.518566437414743,0.5816555118334864,0.6711425792982407,0.6100548909340489,0.6182880686463562,0.5484504615558553,0.69296413518793,0.3862121568923658,Training
min,0.0,0.0,0.33497454161225804,0.00477753150561,0.0,0.0,0.0,0.0,-1.0,Training
25%,1.257235412380884,0.85674209992468,1.2665639026947382,0.721323093501848,1.2579063748171828,1.3270136559398977,1.2978699589302718,1.072993582636049,-0.445437057375907,Training
50%,1.6022743542517341,1.2676042412905468,1.6680599150873014,1.185465959590636,1.7349603325005667,1.6603988578835431,1.6326607958738701,1.5385921133372644,-0.16898151942088263,Training
75%,1.8790346679088787,1.5710264938857128,2.089491245660051,1.6551331933684745,2.0728769407339946,2.1113004059782283,1.9771541597503697,1.9910578801562564,0.13596024595918005,Training
max,2.7140287376490617,3.141592653589793,3.1415926535897927,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793,1.0,Training
count,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,Validation
mean,1.5995118209887145,1.3865489658170982,1.5121360097998577,1.5161653654323315,1.492654951158942,1.7165280546779165,1.59184420588302,1.6308595565819508,-0.06012186258366044,Validation
std,0.5354309199749689,0.4270592209188904,0.6853078287188715,0.7265361236919717,0.5748044478236763,0.6494250123218048,0.44354190539111343,0.6070612113912952,0.3632058453940796,Validation
min,0.5042052716525793,0.6527877686856066,0.0,0.3324231268087684,0.35369149809754097,0.43075023867908246,0.5554183821179399,0.20759318442847974,-0.5569076810286975,Validation
25%,1.3321286467444944,1.0765894648570202,1.2038621981746562,0.8188669474817188,1.1403529135495325,1.4115001017959834,1.3219434456839045,1.1846903546717629,-0.3705011004837695,Validation
50%,1.5085297292820852,1.4137629426832743,1.381888012371065,1.6183400042134686,1.4892577990965838,1.712623390941211,1.7193861540930306,1.6696525352277964,-0.06056131790125313,Validation
75%,1.9680934850698286,1.7957265533424505,1.8026884885163823,2.022767129369719,1.8736021665904217,2.0830495510445433,1.8075760279784574,1.9780146613199197,0.11020910742850965,Validation
max,2.5373499659819165,1.9963503975445773,2.9170150032602793,2.6802711959989214,2.8689211822075382,2.836494833587449,2.2981933104858507,2.7094639976643813,0.6512936962173217,Validation
count,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,Test
mean,1.5050974690478678,1.1808358934144048,1.5995317099123203,1.3736029436639152,1.8684501694238018,1.7619753620571597,1.6327800459518342,1.4718439915428982,-0.13478433004037468,Test
std,0.6737533283322487,0.34016213650805593,0.4529923193095604,0.6029649058594345,0.6527319286863751,0.80798203767455,0.48652560859351673,0.7028147300443833,0.3247243788809978,Test
min,0.6865236048183406,0.6830476178275747,0.7641289741417943,0.0,0.7679962344176327,0.02946777368055331,0.7698723356421597,0.3712727410416763,-0.7372290732038254,Test
25%,1.0594274705894202,0.9548743327940896,1.3695754998798604,0.9181601321548606,1.3399930328443057,1.1554568183448506,1.3990803738326023,0.9956557680308881,-0.33191128549558374,Test
50%,1.2254636962070267,1.0735118338124727,1.5803933739338105,1.395143754122771,1.9167289986348708,1.7566733018899474,1.6010207826146583,1.3308590515125034,-0.09767954343407603,Test
75%,1.7223760643531465,1.3618831277751944,1.8050680730653945,1.8785203287964858,2.137330206091473,2.1816420379280417,1.8961328172925258,1.8502908520140862,0.0679471346361078,Test
max,3.141592653589793,1.935847563773855,2.7102896865898103,2.477945937008836,3.0864250366073307,3.1247931626393646,2.8903103989864167,2.934872806370717,0.4373515465987905,Test
