index,feature1,feature2,feature3,feature4,target,Dataset
count,100.0,100.0,100.0,100.0,100.0,Training
mean,3.4409619654188166,3.1849209354516974,3.2144886829969397,2.99541671161185,-0.16412409121508265,Training
std,1.7286356468864477,1.8225973737885461,1.8186953859686987,1.845053445245392,0.5240143136602642,Training
min,0.004021345550731062,0.010559050575173055,0.01668713517045243,0.01184429658397271,-1.0,Training
25%,2.061012992010105,1.6410291671346184,1.9218015646750972,1.3776607716248435,-0.5958540041094398,Training
50%,3.57320795328694,3.3731827652610606,2.966693708882747,3.0129738907972317,-0.16918052347631707,Training
75%,4.989645431207419,4.837265816074745,4.866995044269768,4.48285121781555,0.278231018383898,Training
max,6.027074696787094,6.161782390499009,6.218020749749678,6.218437873419478,1.0,Training
count,20.0,20.0,20.0,20.0,20.0,Validation
mean,3.0174348400659916,2.028394744768455,2.989282300230053,2.9865736761984847,-0.056913559449677666,Validation
std,1.9232263692666582,1.6080378027760416,2.1309749978689254,1.9621538139922792,0.5015413658025204,Validation
min,0.09745483832753114,0.22185749311227257,0.30251657470719817,0.3417937151851513,-0.7518495692890826,Validation
25%,1.2455578001783123,0.8906348897130549,0.9155183522820558,1.0097056983501194,-0.5681814627814712,Validation
50%,3.2008724983162775,1.5739894539106887,2.351845935276529,3.0523100444763624,-0.1224268008103136,Validation
75%,4.429154800677493,2.8085582079883915,4.7901012313803255,4.5687084032851075,0.3421233361845911,Validation
max,5.952070515315465,5.802537065266003,6.281134213984654,6.058756846461579,0.7430986934853494,Validation
count,20.0,20.0,20.0,20.0,20.0,Test
mean,2.972425972149941,3.0039536669216624,3.081591822331472,3.3455415305198586,-0.09104206390505232,Test
std,1.9854343412676698,1.6915024189800543,1.8906576566602113,1.7818466316601538,0.6746590000637588,Test
min,0.24304059153579305,0.13468493882515623,0.17386817808780988,0.43257242369015536,-0.9522953111093978,Test
25%,1.4547214618824262,1.4275064667212551,1.7573001903920917,1.6873170561764854,-0.8152978523473611,Test
50%,2.83790948063685,3.286554221339604,3.2769212857864973,3.4515527427899095,-0.00866769149829777,Test
75%,4.698025655662627,4.522862010624994,4.129721940144592,4.76311328798832,0.4531276380211715,Test
max,5.650247926494964,5.550286368854488,6.11909605460621,6.264229382487542,0.8320071052788189,Test
