index,feature1,feature2,feature3,feature4,target,Dataset
count,100.0,100.0,100.0,100.0,100.0,Training
mean,1.5926470574156093,1.647499791242926,1.5302049588021596,1.5009890113038928,-0.08569553477125753,Training
std,0.8837558835807214,0.8575351759489667,0.9170618069177888,0.9324406063118575,0.4165920497964756,Training
min,0.025177021265742013,0.0,0.0,0.0,-1.0,Training
25%,0.7469554538952905,1.0032042953855016,0.756813684203904,0.745590562788971,-0.36935406093734874,Training
50%,1.731620057634154,1.5819133630098707,1.5441262547572467,1.3770031329379022,-0.08684962053930706,Training
75%,2.2383656366948355,2.360278858935617,2.278867661706936,2.2950639780445723,0.2371713535801689,Training
max,3.1415926535897927,3.141592653589793,3.1415926535897936,3.100693314081968,1.0,Training
count,20.0,20.0,20.0,20.0,20.0,Validation
mean,1.851873763727442,1.2509834928388333,1.2209409179437656,1.4756872706151811,-0.24495094113005728,Validation
std,1.0457686117241323,0.8829677868334562,0.8572509362500687,0.8970533667899994,0.35116841761421647,Validation
min,0.09943215328428437,0.06655704003812574,0.04928182762030103,0.13672284233949283,-0.695754719298724,Validation
25%,1.0953281414153917,0.5820095083299985,0.45343374672986114,0.7228118031553001,-0.5117176816649034,Validation
50%,2.3974922259905016,1.0853440116391024,1.1411709238456578,1.433943851760164,-0.3443641069395179,Validation
75%,2.6905956856252584,1.6835721315352887,1.6945641970459417,1.9935600811287626,-0.01827280786178198,Validation
max,2.97898283673995,2.853274561971338,3.0359350142560864,3.141592653589793,0.5675810092938458,Validation
count,20.0,20.0,20.0,20.0,20.0,Test
mean,1.4245744481541178,1.4917920042431683,1.7332594457533155,1.6525505558700302,-0.08383830573102986,Test
std,0.9206364595411319,0.9311124140896533,0.9942365409107992,0.8311310904354442,0.44436920087080084,Test
min,0.0,0.11351540794323761,0.07205982232291672,0.036440939892660715,-0.9909403517277677,Test
25%,0.8057134439988956,0.7939349963003883,1.168303504189024,1.1227810104578013,-0.33531415610913096,Test
50%,1.3578448048657186,1.3532169452786227,1.7215850942979114,1.6383399101587743,-0.04162154569465898,Test
75%,2.111896119596871,2.2390745213356036,2.5535027546647746,2.196992354657268,0.2083145957059792,Test
max,3.1030080275172764,3.108199853601146,3.1111540952792653,3.039144368548437,0.663726812379277,Test
