index,feature1,feature2,feature3,feature4,target,Dataset
count,100.0,100.0,100.0,100.0,100.0,Training
mean,1.6808327113626236,1.4701822176460404,1.4418857445434101,1.5368128820983002,-0.06677833729133473,Training
std,0.914973521820714,0.8631490890123809,0.919445873909093,0.931068265884854,0.4529412062069596,Training
min,0.0,0.08605388852471471,0.0,0.020855237474912105,-1.0,Training
25%,0.8879764014462195,0.7698552857894092,0.7025709280530348,0.6951724706568571,-0.33231116039593,Training
50%,1.7910645730999535,1.486484967555746,1.3429147011563884,1.6712446654856272,-0.11339350130807102,Training
75%,2.3744347877764267,1.9958878705051246,2.2330555490728097,2.1431987716671363,0.23223374124484836,Training
max,3.1415926535897927,3.141592653589793,3.141592653589793,3.1415926535897922,0.9539403006001812,Training
count,20.0,20.0,20.0,20.0,20.0,Validation
mean,1.5640323672881027,1.8763815750532664,1.5225995527996683,1.680856529849168,0.14022684350087466,Validation
std,0.8552508651042829,0.7935866240140197,0.986517541058675,1.0904324817086635,0.4537753546223388,Validation
min,0.07706331124589565,0.07096450955624742,0.0179687063167868,0.0,-0.6389867744382713,Validation
25%,0.6883667169682943,1.4516328152146203,0.7014367759222749,0.7691871086662443,-0.08731015348082716,Validation
50%,1.7530920443012188,2.125858657894322,1.4269322890989287,1.9593106596811467,0.06256499162437423,Validation
75%,2.1676737623981848,2.5249336226000625,2.4138794767783516,2.6812541621616215,0.40984394841510585,Validation
max,2.7482652157944565,2.8823522553889838,3.084273456188907,3.1203178392416597,1.0,Validation
count,20.0,20.0,20.0,20.0,20.0,Test
mean,1.341216731291885,2.007526799608738,1.825261933788647,1.4532144101296258,0.14419417671599102,Test
std,0.9087396381100311,0.8551876057087785,0.8541701293725157,0.8153444796398217,0.39476469147194376,Test
min,0.045057175379761935,0.0,0.15206596167627653,0.008682742069345401,-0.5143624438107108,Test
25%,0.6324780421058636,1.559701934704224,1.229236037352107,0.9238960322339305,-0.22883777273974543,Test
50%,1.198802545074277,2.2875449231376024,2.139827328463546,1.5732811247459235,0.24080714228437994,Test
75%,2.0745086040639773,2.5386428260567095,2.450472506520664,1.9923014583996346,0.41475158544060886,Test
max,2.991643818688226,3.0887613073357887,3.025477075010753,2.7880372176334784,0.7824250243288602,Test
