,Device,Qubits,Model,Model_spec,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CNOT/ECR error,Gate length (ns),MEASURE error
0,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000008,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
1,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000008,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
2,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000008,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
3,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,72.99157073584531,91.93248205245109,5.223106414289105,-0.32625831785961157,0.01774749999999999,0.029154999999999997,0.006340000000000003,5351.11111111111,0.00033082025366188637,35.55555555555556,0.0,0.00033082025366188637,0.00033082025366188637,0.010184498132031164,380.6518518518518,0.01774749999999999
4,FakeGuadalupeV2,8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,72.24512469240715,91.7031497995767,5.228709954336775,-0.32615841857859884,0.02007249999999999,0.032365,0.007780000000000005,5351.11111111111,0.00036899570345792337,35.55555555555556,0.0,0.00036899570345792337,0.00036899570345792337,0.010252240667452586,384.0,0.02007249999999999
5,FakeGuadalupeV2,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,73.77615944689504,91.4702960827549,5.230118350851996,-0.3266204887624915,0.020162499999999993,0.032665,0.007660000000000003,5351.11111111111,0.00036977421185243627,35.55555555555556,0.0,0.00036977421185243627,0.00036977421185243627,0.010417456697842298,388.62222222222215,0.020162499999999993
6,FakeGuadalupeV2,10,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,71.09189348663452,89.14724468584554,5.247253221874772,-0.32659072388377053,0.018829230769230765,0.03011846153846153,0.00754,5351.11111111111,0.0003897484798407883,35.55555555555556,0.0,0.0003897484798407883,0.0003897484798407883,0.010717111754804127,392.51509971509967,0.018829230769230765
7,FakeGuadalupeV2,10,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,70.11776214684788,90.13216608070584,5.257634896715531,-0.3260282056224799,0.019393333333333325,0.03058133333333333,0.008205333333333332,5351.11111111111,0.0004498459434213801,35.55555555555556,0.0,0.0004498459434213801,0.0004498459434213801,0.010914074143350648,399.2098765432098,0.019393333333333325
8,FakeGuadalupeV2,10,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,69.38824877047871,91.07151850365526,5.2631425543583665,-0.3255674602693264,0.020314999999999993,0.03203199999999999,0.008597999999999998,5351.11111111111,0.00044897889567723225,35.55555555555556,0.0,0.00044897889567723225,0.00044897889567723225,0.010983135656636786,398.8148148148148,0.020314999999999993
9,AerSim with backend noise,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,290.8145195341606,108.00703593064286,4.865563670898306,-0.30810195378882643,0.014190673828125,0.0155029296875,0.0081787109375,840.0,0.00018607344955511246,60.0,0.0,0.00018607344955511246,0.00018607344955511246,0.007230150858789905,636.0,0.014190673828125
