Task,,,clf,clf,clf,clf,clf,clf
Qubits,,,4,4,8,8,10,10
Metric,,,BCE,Accuracy,BCE,Accuracy,BCE,Accuracy
Dataset,Device,Model,,,,,,
Train,noiseless,QCNN,0.5188 ± 0.0335,85.2 ± 1.1511,0.6101 ± 0.0129,85.0 ± 2.7613,0.6026 ± 0.0333,67.8 ± 15.7385
Train,noiseless,HQCNN-EZ,0.4427 ± 0.0917,84.4 ± 0.6519,0.4237 ± 0.0643,86.7 ± 1.3038,0.3432 ± 0.068,88.5 ± 1.9039
Train,noiseless,HQCNN-EM,0.3785 ± 0.0149,84.7 ± 1.2042,0.3242 ± 0.0158,85.9 ± 0.7416,0.3265 ± 0.053,88.2 ± 0.6708
Train,FakeGuadalupeV2,QCNN,0.5622 ± 0.0312,83.3 ± 2.1095,0.6573 ± 0.0051,68.2 ± 4.8683,0.6546 ± 0.0224,58.7 ± 7.5465
Train,FakeGuadalupeV2,HQCNN-EZ,0.4851 ± 0.1039,84.2 ± 0.9083,0.5223 ± 0.0964,83.2 ± 4.5083,0.4816 ± 0.0857,85.4 ± 2.4597
Train,FakeGuadalupeV2,HQCNN-EM,0.4051 ± 0.0317,85.5 ± 0.6124,0.3615 ± 0.0131,85.7 ± 1.0954,0.3688 ± 0.0525,86.6 ± 2.2749
Train,AerSim (IBM-Yonsei),QCNN,0.5852 ± 0.0262,82.8 ± 2.2804,0.6643 ± 0.016,66.8 ± 10.0908,0.6505 ± 0.0351,59.1 ± 2.8592
Train,AerSim (IBM-Yonsei),HQCNN-EZ,0.4956 ± 0.1131,81.8 ± 4.396,0.489 ± 0.0784,84.4 ± 2.9026,0.4543 ± 0.0844,84.7 ± 2.3875
Train,AerSim (IBM-Yonsei),HQCNN-EM,0.4031 ± 0.015,85.1 ± 0.6519,0.3719 ± 0.0379,86.4 ± 1.8507,0.3812 ± 0.0805,86.7 ± 2.8853
Test,noiseless,QCNN,0.4706 ± 0.0478,93.0 ± 1.2748,0.6041 ± 0.014,88.5 ± 4.1231,0.5969 ± 0.049,68.2 ± 17.8241
Test,noiseless,HQCNN-EZ,0.3571 ± 0.1268,92.7 ± 0.5701,0.3898 ± 0.0727,91.7 ± 1.255,0.3258 ± 0.073,90.9 ± 1.8841
Test,noiseless,HQCNN-EM,0.2529 ± 0.016,93.6 ± 0.6519,0.2472 ± 0.013,92.7 ± 0.4472,0.3024 ± 0.0611,91.2 ± 0.9747
Test,FakeGuadalupeV2,QCNN,0.5207 ± 0.0378,92.6 ± 1.4748,0.6548 ± 0.007,70.1 ± 4.0373,0.6501 ± 0.0285,59.4 ± 8.7707
Test,FakeGuadalupeV2,HQCNN-EZ,0.4227 ± 0.1408,92.0 ± 1.7678,0.4976 ± 0.1166,85.9 ± 10.3586,0.4583 ± 0.1083,86.2 ± 5.0075
Test,FakeGuadalupeV2,HQCNN-EM,0.2947 ± 0.0436,93.2 ± 0.7583,0.279 ± 0.0105,92.3 ± 0.7583,0.3348 ± 0.0783,89.8 ± 2.9917
Test,AerSim (IBM-Yonsei),QCNN,0.5602 ± 0.0314,89.8 ± 2.0187,0.6632 ± 0.0157,66.1 ± 6.9498,0.6439 ± 0.0336,62.1 ± 5.5946
Test,AerSim (IBM-Yonsei),HQCNN-EZ,0.4375 ± 0.1513,90.3 ± 4.396,0.4549 ± 0.0945,90.1 ± 3.1105,0.4315 ± 0.1092,87.6 ± 4.9548
Test,AerSim (IBM-Yonsei),HQCNN-EM,0.2882 ± 0.0212,92.8 ± 1.3509,0.2982 ± 0.0385,91.8 ± 0.6708,0.343 ± 0.1043,90.1 ± 2.0736
