,Device,Qubits,sim_iter_num,Dataset,Diff_loss_HQCNN-EZ,%_loss_improve_HQCNN-EZ,Diff_loss_HQCNN-EM,%_loss_improve_HQCNN-EM,Diff_accu_HQCNN-EZ,%_accu_improve_HQCNN-EZ,Diff_accu_HQCNN-EM,%_accu_improve_HQCNN-EM
0,noiseless,4,0,Train,0.04952847957611084,9.541723956817828,0.18477767705917358,35.59765215831626,0.0,0.0,-0.5,-0.591715976331361
1,noiseless,4,0,Test,0.08503830432891846,17.931850581946872,0.27204564213752747,57.3656994312974,2.0,2.209944751381215,4.0,4.41988950276243
2,noiseless,4,1,Train,-0.015937447547912598,-2.785518628427987,0.16229960322380066,28.366434889103676,1.5,1.7857142857142856,2.0,2.380952380952381
3,noiseless,4,1,Test,-0.027209341526031494,-5.064393099777298,0.2613503038883209,48.64434791155925,-1.0,-1.0638297872340425,0.0,0.0
4,noiseless,4,2,Train,0.12799686193466187,25.79560217398747,0.12872424721717834,25.942194372353917,0.0,0.0,1.5,1.7857142857142856
5,noiseless,4,2,Test,0.18459808826446533,41.978691731550114,0.20806415379047394,47.3150131427307,-1.5,-1.5957446808510638,0.0,0.0
6,noiseless,4,3,Train,0.11071699857711792,22.750545470489847,0.11008191108703613,22.620045303338177,-0.5,-0.5882352941176471,-1.0,-1.1764705882352942
7,noiseless,4,3,Test,0.1504579484462738,35.80474509071626,0.17629054188728333,41.95217321092443,-1.0,-1.06951871657754,-1.0,-1.06951871657754
8,noiseless,4,4,Train,0.14169833064079285,27.389071715413067,0.1433590054512024,27.710065909717237,0.0,0.0,-1.5,-1.7751479289940828
9,noiseless,4,4,Test,0.21084246039390564,44.144130259365134,0.26721712946891785,55.94730657559007,1.0,1.1049723756906076,3.0,3.314917127071823
10,noiseless,8,0,Train,0.15824246406555176,26.362062956332128,0.29467451572418213,49.09066716712393,-0.5,-0.5681818181818182,-1.5,-1.7045454545454544
11,noiseless,8,0,Test,0.18247085809707642,31.404718494446133,0.35515816509723663,61.12560828726351,-0.5,-0.5434782608695652,-1.0,-1.0869565217391304
12,noiseless,8,1,Train,0.265950471162796,43.331308833387894,0.26778170466423035,43.62967169790835,4.5,5.263157894736842,1.0,1.1695906432748537
13,noiseless,8,1,Test,0.29640379548072815,48.57135001406986,0.35615184903144836,58.36219502320574,4.0,4.571428571428571,4.5,5.142857142857142
14,noiseless,8,2,Train,0.11697393655776978,18.659391283612152,0.26631295680999756,42.48158018140474,1.5,1.7647058823529411,2.0,2.3529411764705883
15,noiseless,8,2,Test,0.13971281051635742,22.39991651606717,0.35849863290786743,57.477474102636116,0.0,0.0,1.0,1.092896174863388
16,noiseless,8,3,Train,0.20527422428131104,33.85941685505692,0.29463839530944824,48.5997902718463,0.5,0.6024096385542169,5.5,6.626506024096386
17,noiseless,8,3,Test,0.26722970604896545,44.17628675342161,0.3462187945842743,57.23413379116009,5.0,5.649717514124294,4.5,5.084745762711865
18,noiseless,8,4,Train,0.1577686071395874,26.50419999945929,0.25260621309280396,42.436361164006,3.5,4.117647058823529,1.0,1.1764705882352942
19,noiseless,8,4,Test,0.1812272071838379,30.20673889621031,0.3479577898979187,57.997197383761225,14.0,18.064516129032256,15.0,19.35483870967742
20,noiseless,10,0,Train,0.22450792789459229,36.295029986666705,0.23950129747390747,38.718930129462194,13.5,18.367346938775512,13.0,17.687074829931973
