,Device,Qubits,sim_iter_num,Dataset,Diff_loss_QCNN-NN,%_loss_improve_QCNN-NN,Diff_accu_QCNN-NN,%_accu_improve_QCNN-NN
0,noiseless,10,0,Train,0.24302634596824646,39.03665015001703,12.5,16.778523489932887
1,noiseless,10,0,Test,0.26091331243515015,40.89482272210815,21.5,30.714285714285715
2,noiseless,10,1,Train,0.2798825204372406,44.685739969153495,7.5,9.554140127388536
3,noiseless,10,1,Test,0.29244840145111084,47.1212092836985,8.0,9.523809523809524
4,noiseless,10,2,Train,0.08957818150520325,15.954014781486295,38.5,73.33333333333333
5,noiseless,10,2,Test,0.06409561634063721,11.807261643896231,44.5,90.81632653061224
6,noiseless,10,3,Train,-0.00826406478881836,-1.4461286114493108,34.0,68.68686868686868
7,noiseless,10,3,Test,-0.03368508815765381,-6.181621374241519,33.0,64.70588235294117
8,noiseless,10,4,Train,0.13187924027442932,20.889761926184928,2.0,2.380952380952381
9,noiseless,10,4,Test,0.11621838808059692,18.20663665750742,1.5,1.7241379310344827
10,FakeGuadalupeV2,10,0,Train,0.08987188339233398,13.410679696793052,17.0,25.37313432835821
11,FakeGuadalupeV2,10,0,Test,0.09874612092971802,14.671558942749051,20.0,31.007751937984494
12,FakeGuadalupeV2,10,1,Train,0.09310513734817505,14.035633307808745,12.5,18.939393939393938
13,FakeGuadalupeV2,10,1,Test,0.11035102605819702,16.908509093087705,9.0,12.5
14,FakeGuadalupeV2,10,2,Train,-0.0576285719871521,-9.17142725153143,12.0,22.429906542056074
15,FakeGuadalupeV2,10,2,Test,-0.05444449186325073,-8.641530779127242,15.5,30.097087378640776
16,FakeGuadalupeV2,10,3,Train,-0.0354732871055603,-5.602662573971502,0.5,1.0
17,FakeGuadalupeV2,10,3,Test,-0.04898369312286377,-7.986180519107079,-0.5,-0.9615384615384616
18,FakeGuadalupeV2,10,4,Train,-0.0024234652519226074,-0.35756092426056013,0.0,0.0
19,FakeGuadalupeV2,10,4,Test,0.0026997923851013184,0.39630841272771655,1.0,1.7543859649122806
20,AerSim with backend noise,10,0,Train,0.13335514068603516,19.92106289689926,18.0,28.125
21,AerSim with backend noise,10,0,Test,0.12059974670410156,18.121113783310733,18.0,28.125
22,AerSim with backend noise,10,1,Train,0.21589377522468567,32.12733242920334,26.5,45.689655172413794
23,AerSim with backend noise,10,1,Test,0.23428446054458618,35.430370034653,18.5,26.618705035971225
24,AerSim with backend noise,10,2,Train,0.003954470157623291,0.6468720914156189,16.0,27.350427350427353
25,AerSim with backend noise,10,2,Test,0.012488365173339844,2.0556144164971886,20.0,35.714285714285715
26,AerSim with backend noise,10,3,Train,-0.019586384296417236,-3.1901353893828164,1.0,1.7094017094017095
27,AerSim with backend noise,10,3,Test,-0.010318875312805176,-1.6974850312318146,4.5,7.894736842105263
28,AerSim with backend noise,10,4,Train,0.035707950592041016,5.2072232882518135,18.0,31.858407079646017
29,AerSim with backend noise,10,4,Test,0.025941908359527588,3.8290019273762383,10.0,15.625
