,Device,Qubits,sim_iter_num,Dataset,Diff_loss_HQCNN-EZ,%_loss_improve_HQCNN-EZ,Diff_loss_HQCNN-EM,%_loss_improve_HQCNN-EM,Diff_accu_HQCNN-EZ,%_accu_improve_HQCNN-EZ,Diff_accu_HQCNN-EM,%_accu_improve_HQCNN-EM
0,noiseless,4,0,Train,0.04970049858093262,9.566128601856745,0.16525349020957947,31.807249109911197,-0.5,-0.5847953216374269,0.5,0.5847953216374269
1,noiseless,4,0,Test,0.08566856384277344,18.12778938729477,0.2423515021800995,51.282486738990066,0.5,0.5434782608695652,1.5,1.6304347826086956
2,noiseless,4,1,Train,-0.01715785264968872,-2.993198622879704,0.1963660717010498,34.25618971069452,1.0,1.1904761904761905,1.5,1.7857142857142856
3,noiseless,4,1,Test,-0.019857406616210938,-3.64654342813961,0.2842116057872772,52.19160705701249,0.0,0.0,0.0,0.0
4,noiseless,4,2,Train,0.13066500425338745,26.09622053916043,0.10804897546768188,21.57938086748168,-2.5,-2.8735632183908044,-2.0,-2.2988505747126435
5,noiseless,4,2,Test,0.18143105506896973,41.37870002383697,0.16501694917678833,37.635160288515046,-2.5,-2.6455026455026456,-0.5,-0.5291005291005291
6,noiseless,4,3,Train,0.10936596989631653,22.584975693096027,0.10344487428665161,21.362220565997905,-1.0,-1.1764705882352942,-1.0,-1.1764705882352942
7,noiseless,4,3,Test,0.15362292528152466,36.60979907092176,0.1722775250673294,41.055367000677265,-1.5,-1.5957446808510638,-1.0,-1.0638297872340425
8,noiseless,4,4,Train,0.1076393723487854,20.85701980603165,0.1281558871269226,24.83245505561463,-1.0,-1.183431952662722,-1.5,-1.7751479289940828
9,noiseless,4,4,Test,0.1666957139968872,34.89735614802786,0.22429659962654114,46.9559662470097,2.0,2.185792349726776,3.0,3.278688524590164
10,noiseless,8,0,Train,0.16811886429786682,27.84583004581595,0.29970690608024597,49.64099421633878,-1.0,-1.1363636363636365,-2.0,-2.272727272727273
11,noiseless,8,0,Test,0.18275690078735352,31.228212119693655,0.3599388599395752,61.5038174749545,-0.5,-0.5434782608695652,1.0,1.0869565217391304
12,noiseless,8,1,Train,0.2885132431983948,46.695792877449094,0.28356844186782837,45.895478076670656,0.0,0.0,-0.5,-0.5813953488372093
13,noiseless,8,1,Test,0.3051019608974457,50.012237399093976,0.36402712762355804,59.67123604472411,1.0,1.1235955056179776,3.5,3.932584269662921
14,noiseless,8,2,Train,0.11993104219436646,19.144412888743968,0.28739526867866516,45.876476891937834,1.5,1.7543859649122806,-0.5,-0.5847953216374269
15,noiseless,8,2,Test,0.1347338855266571,21.628031004464706,0.37098705768585205,59.552350579967886,1.0,1.098901098901099,2.0,2.197802197802198
16,noiseless,8,3,Train,0.20377367734909058,33.44515452690449,0.29885202646255493,49.050261720485686,4.5,5.590062111801243,6.5,8.074534161490684
17,noiseless,8,3,Test,0.27087005972862244,44.83957805988773,0.345722496509552,57.23058090964507,4.5,5.056179775280898,4.0,4.49438202247191
18,noiseless,8,4,Train,0.15161770582199097,25.571040698873134,0.2598720192909241,43.82864089493913,3.5,4.117647058823529,1.0,1.1764705882352942
19,noiseless,8,4,Test,0.17829963564872742,29.803056252135818,0.3439476490020752,57.491374526383545,10.0,12.269938650306749,10.5,12.883435582822086
