,Device,Qubits,Model,Model_spec,sim_iter_num,Dataset,binary_cross_entropy_loss,accuracy,best_epoch
0,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.519546627998352,85.5,18.0
1,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.4725814163684845,92.0,18.0
2,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.5732280015945435,84.0,16.0
3,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Test,0.5445542335510254,93.0,16.0
4,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Train,0.5007047057151794,87.0,18.0
5,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Test,0.43846485018730164,94.5,18.0
6,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Train,0.48424214124679565,85.0,19.0
7,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Test,0.41962242126464844,94.0,19.0
8,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Train,0.516082227230072,84.5,17.0
9,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.47767433524131775,91.5,17.0
10,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.562406063079834,82.0,16.0
11,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.5226013660430908,91.0,16.0
