,Model,Qubits,sim_iter_num,Dataset,Diff_loss_FakeGuadalupeV2,Diff_loss_AerSim,Diff_accu_FakeGuadalupeV2,Diff_accu_AerSim
0,QCNN,4,0,Train,-0.042859435081481934,-0.05875813961029053,-3.5,-3.0
1,QCNN,4,0,Test,-0.05001994967460632,-0.08758190274238586,-1.0,-3.5
2,QCNN,4,1,Train,-0.03585684299468994,-0.05182558298110962,-1.5,-3.5
3,QCNN,4,1,Test,-0.02979874610900879,-0.06553041934967041,-0.5,-4.5
4,QCNN,4,2,Train,-0.04598754644393921,-0.07389706373214722,-5.0,-4.0
5,QCNN,4,2,Test,-0.04876205325126648,-0.10258212685585022,0.5,-2.5
6,QCNN,4,3,Train,-0.040225863456726074,-0.07035255432128906,2.0,1.5
7,QCNN,4,3,Test,-0.06311166286468506,-0.10751914978027344,-1.5,-2.0
8,QCNN,4,4,Train,-0.05241912603378296,-0.07720750570297241,-1.5,-3.0
9,QCNN,4,4,Test,-0.05911096930503845,-0.08505001664161682,0.5,-3.5
10,QCNN,8,0,Train,-0.05154705047607422,-0.08791059255599976,-25.0,-37.0
11,QCNN,8,0,Test,-0.06297141313552856,-0.10216552019119263,-24.5,-37.0
12,QCNN,8,1,Train,-0.03797215223312378,-0.0317080020904541,-17.0,-7.5
13,QCNN,8,1,Test,-0.039306640625,-0.05706268548965454,-12.5,-23.5
14,QCNN,8,2,Train,-0.03543978929519653,-0.03628969192504883,-19.5,-14.5
15,QCNN,8,2,Test,-0.03819751739501953,-0.035030484199523926,-19.5,-19.0
16,QCNN,8,3,Train,-0.04125416278839111,-0.04894399642944336,-13.5,-15.0
17,QCNN,8,3,Test,-0.04783254861831665,-0.04071229696273804,-22.5,-17.0
18,QCNN,8,4,Train,-0.0698697566986084,-0.06634050607681274,-9.0,-17.0
19,QCNN,8,4,Test,-0.06514155864715576,-0.06026053428649902,-13.0,-15.5
20,QCNN,10,0,Train,-0.0475921630859375,-0.046858370304107666,-7.5,-10.5
21,QCNN,10,0,Test,-0.03503388166427612,-0.027509987354278564,-5.5,-6.0
22,QCNN,10,1,Train,-0.037013113498687744,-0.045658886432647705,-12.5,-20.5
23,QCNN,10,1,Test,-0.03200596570968628,-0.04062312841415405,-12.0,-14.5
24,QCNN,10,2,Train,-0.06687164306640625,-0.049844443798065186,1.0,6.0
25,QCNN,10,2,Test,-0.08718383312225342,-0.06467556953430176,2.5,7.0
26,QCNN,10,3,Train,-0.06168925762176514,-0.04250591993331909,0.5,9.0
27,QCNN,10,3,Test,-0.0684325098991394,-0.06296879053115845,1.0,6.0
28,QCNN,10,4,Train,-0.04646646976470947,-0.05442839860916138,-27.0,-27.5
29,QCNN,10,4,Test,-0.04290539026260376,-0.0391811728477478,-30.0,-23.0
30,HQCNN-EZ,4,0,Train,-0.05062073469161987,-0.0962567925453186,0.5,-0.5
31,HQCNN-EZ,4,0,Test,-0.09221705794334412,-0.15046074986457825,1.0,0.0
32,HQCNN-EZ,4,1,Train,-0.0619390606880188,-0.06618672609329224,-1.0,-11.0
33,HQCNN-EZ,4,1,Test,-0.07986193895339966,-0.0839388370513916,-4.0,-10.5
34,HQCNN-EZ,4,2,Train,-0.05808299779891968,-0.020433008670806885,0.0,-1.5
35,HQCNN-EZ,4,2,Test,-0.08226883411407471,-0.02904483675956726,1.0,0.0
36,HQCNN-EZ,4,3,Train,-0.029952436685562134,-0.03286418318748474,-1.0,-0.5
37,HQCNN-EZ,4,3,Test,-0.03542158007621765,-0.06477919220924377,-0.5,-1.0
38,HQCNN-EZ,4,4,Train,-0.011431485414505005,-0.04844829440116882,0.5,0.5
39,HQCNN-EZ,4,4,Test,-0.03820914030075073,-0.07390338182449341,-1.0,-0.5
40,HQCNN-EZ,8,0,Train,-0.11191961169242859,-0.07946887612342834,-0.5,-0.5
41,HQCNN-EZ,8,0,Test,-0.12493449449539185,-0.10427463054656982,-1.0,1.0
42,HQCNN-EZ,8,1,Train,-0.07534897327423096,-0.07209265232086182,0.0,-3.0
43,HQCNN-EZ,8,1,Test,-0.06475004553794861,-0.05556568503379822,1.5,-3.0
44,HQCNN-EZ,8,2,Train,-0.13146287202835083,-0.10165643692016602,-4.0,-7.0
45,HQCNN-EZ,8,2,Test,-0.1434250771999359,-0.1029408872127533,-3.5,-5.5
46,HQCNN-EZ,8,3,Train,-0.03800579905509949,-0.041560232639312744,0.0,0.5
47,HQCNN-EZ,8,3,Test,-0.05032891035079956,-0.050436824560165405,-2.0,-0.5
48,HQCNN-EZ,8,4,Train,-0.13646411895751953,-0.03173425793647766,-13.0,-1.5
