Task,,task_name,task_name,task_name,task_name,task_name,task_name,task_name,task_name,task_name,task_name,task_name,task_name
Qubits,,4,4,4,4,8,8,8,8,10,10,10,10
Device,,Diff. Loss (FakeGuadalupeV2),Diff. Loss (AerSim (IBM-Yonsei)),Diff. Accuracy (FakeGuadalupeV2),Diff. Accuracy (AerSim (IBM-Yonsei)),Diff. Loss (FakeGuadalupeV2),Diff. Loss (AerSim (IBM-Yonsei)),Diff. Accuracy (FakeGuadalupeV2),Diff. Accuracy (AerSim (IBM-Yonsei)),Diff. Loss (FakeGuadalupeV2),Diff. Loss (AerSim (IBM-Yonsei)),Diff. Accuracy (FakeGuadalupeV2),Diff. Accuracy (AerSim (IBM-Yonsei))
Dataset,Model,,,,,,,,,,,,
Train,QCNN,-0.0435 ± 0.0062,-0.0664 ± 0.0107,-1.9 ± 2.6315,-2.4 ± 2.2192,-0.0472 ± 0.0141,-0.0542 ± 0.0231,-16.8 ± 6.0477,-18.2 ± 11.1052,-0.0519 ± 0.0121,-0.0479 ± 0.0045,-9.1 ± 11.4967,-8.7 ± 16.0102
Train,HQCNN-EZ,-0.0424 ± 0.0213,-0.0528 ± 0.0297,-0.2 ± 0.7583,-2.6 ± 4.7487,-0.0986 ± 0.0415,-0.0653 ± 0.0285,-3.5 ± 5.5678,-2.3 ± 2.9283,-0.1384 ± 0.0486,-0.1111 ± 0.0405,-3.1 ± 1.7103,-3.8 ± 1.7176
Train,HQCNN-EM,-0.0266 ± 0.0286,-0.0246 ± 0.015,0.8 ± 1.3038,0.4 ± 1.4748,-0.0373 ± 0.0185,-0.0477 ± 0.0439,-0.2 ± 1.0954,0.5 ± 1.4577,-0.0423 ± 0.0356,-0.0548 ± 0.0408,-1.6 ± 1.6733,-1.5 ± 2.622
Test,QCNN,-0.0502 ± 0.0129,-0.0897 ± 0.0165,-0.4 ± 0.8944,-3.2 ± 0.9747,-0.0507 ± 0.0128,-0.059 ± 0.0264,-18.4 ± 5.4589,-22.4 ± 8.6991,-0.0531 ± 0.0238,-0.047 ± 0.0162,-8.8 ± 13.1748,-6.1 ± 12.9827
Test,HQCNN-EZ,-0.0656 ± 0.0267,-0.0804 ± 0.0443,-0.7 ± 2.0494,-2.4 ± 4.547,-0.1079 ± 0.0475,-0.0651 ± 0.0389,-5.8 ± 10.3356,-1.6 ± 2.6315,-0.1325 ± 0.0489,-0.1057 ± 0.0519,-4.7 ± 3.3279,-3.3 ± 3.6844
Test,HQCNN-EM,-0.0418 ± 0.0413,-0.0353 ± 0.027,-0.4 ± 1.3874,-0.8 ± 1.0368,-0.0318 ± 0.0214,-0.051 ± 0.0486,-0.4 ± 0.8944,-0.9 ± 0.8216,-0.0324 ± 0.0292,-0.0406 ± 0.0445,-1.4 ± 2.0433,-1.1 ± 1.2942
