Task,,,Classification Task,Classification Task,Classification Task,Classification Task,Classification Task,Classification Task
Qubits,,,4,4,8,8,10,10
Metric,,,BCE,Accuracy,BCE,Accuracy,BCE,Accuracy
Dataset,Device,Model,,,,,,
Train,noiseless,QCNN,0.518761 ± 0.033511,85.2 ± 1.151086,0.610053 ± 0.01288,85.0 ± 2.76134,0.602629 ± 0.033342,67.8 ± 15.738488
Train,noiseless,HQCNN-EZ,0.442718 ± 0.091653,84.4 ± 0.65192,0.423662 ± 0.064316,86.7 ± 1.30384,0.343207 ± 0.067971,88.5 ± 1.903943
Train,noiseless,HQCNN-EM,0.378507 ± 0.014859,84.7 ± 1.204159,0.324174 ± 0.015788,85.9 ± 0.74162,0.326461 ± 0.052991,88.2 ± 0.67082
Train,noiseless,QCNN with NN (zero-padded),,,,,0.460611 ± 0.087506,86.1 ± 3.150397
Train,noiseless,HQCNN-EZ (linear readout),,,,,0.603429 ± 0.0116,86.5 ± 2.318405
Train,FakeGuadalupeV2,QCNN,0.562231 ± 0.031234,83.3 ± 2.109502,0.65727 ± 0.005082,68.2 ± 4.868265,0.654555 ± 0.022387,58.7 ± 7.546522
Train,FakeGuadalupeV2,HQCNN-EZ,0.485123 ± 0.103874,84.2 ± 0.908295,0.522302 ± 0.096356,83.2 ± 4.508326,0.481627 ± 0.085721,85.4 ± 2.459675
Train,FakeGuadalupeV2,HQCNN-EM,0.405063 ± 0.031743,85.5 ± 0.612372,0.361459 ± 0.013077,85.7 ± 1.095445,0.368803 ± 0.052533,86.6 ± 2.274863
Train,FakeGuadalupeV2,QCNN with NN (zero-padded),,,,,0.636141 ± 0.054608,66.7 ± 12.799414
Train,FakeGuadalupeV2,HQCNN-EZ (linear readout),,,,,0.645622 ± 0.010284,85.0 ± 1.274755
Train,AerSim (IBM-Yonsei),QCNN,0.585169 ± 0.026222,82.8 ± 2.280351,0.664292 ± 0.01605,66.8 ± 10.090837,0.650488 ± 0.035111,59.1 ± 2.859196
Train,AerSim (IBM-Yonsei),HQCNN-EZ,0.495556 ± 0.113084,81.8 ± 4.396021,0.488965 ± 0.078367,84.4 ± 2.902585,0.454313 ± 0.084355,84.7 ± 2.387467
Train,AerSim (IBM-Yonsei),HQCNN-EM,0.403149 ± 0.01497,85.1 ± 0.65192,0.371887 ± 0.037941,86.4 ± 1.850676,0.381246 ± 0.080505,86.7 ± 2.885308
Train,AerSim (IBM-Yonsei),QCNN with NN (zero-padded),,,,,0.568624 ± 0.098505,74.9 ± 9.806885
Train,AerSim (IBM-Yonsei),HQCNN-EZ (linear readout),,,,,0.637371 ± 0.010645,84.0 ± 1.903943
Test,noiseless,QCNN,0.470579 ± 0.04784,93.0 ± 1.274755,0.604118 ± 0.013976,88.5 ± 4.123106,0.596949 ± 0.048971,68.2 ± 17.824141
Test,noiseless,HQCNN-EZ,0.357067 ± 0.126794,92.7 ± 0.570088,0.389766 ± 0.07273,91.7 ± 1.25499,0.325785 ± 0.072979,90.9 ± 1.884144
Test,noiseless,HQCNN-EM,0.252949 ± 0.015989,93.6 ± 0.65192,0.247194 ± 0.013032,92.7 ± 0.447214,0.302361 ± 0.061138,91.2 ± 0.974679
Test,noiseless,QCNN with NN (zero-padded),,,,,0.457952 ± 0.10394,90.1 ± 3.189828
Test,noiseless,HQCNN-EZ (linear readout),,,,,0.594893 ± 0.016713,91.6 ± 0.894427
Test,FakeGuadalupeV2,QCNN,0.52074 ± 0.037759,92.6 ± 1.474788,0.654808 ± 0.006997,70.1 ± 4.037326,0.650061 ± 0.028527,59.4 ± 8.77069
Test,FakeGuadalupeV2,HQCNN-EZ,0.422663 ± 0.140843,92.0 ± 1.767767,0.497647 ± 0.116576,85.9 ± 10.358571,0.45829 ± 0.1083,86.2 ± 5.007494
Test,FakeGuadalupeV2,HQCNN-EM,0.29474 ± 0.043618,93.2 ± 0.758288,0.279008 ± 0.010512,92.3 ± 0.758288,0.334799 ± 0.078308,89.8 ± 2.991655
Test,FakeGuadalupeV2,QCNN with NN (zero-padded),,,,,0.629817 ± 0.06343,68.3 ± 12.696456
Test,FakeGuadalupeV2,HQCNN-EZ (linear readout),,,,,0.640491 ± 0.011255,89.9 ± 1.431782
Test,AerSim (IBM-Yonsei),QCNN,0.560232 ± 0.031443,89.8 ± 2.018663,0.663164 ± 0.015719,66.1 ± 6.94982,0.64394 ± 0.033608,62.1 ± 5.59464
Test,AerSim (IBM-Yonsei),HQCNN-EZ,0.437493 ± 0.151261,90.3 ± 4.396021,0.454871 ± 0.094542,90.1 ± 3.110466,0.431492 ± 0.109168,87.6 ± 4.954796
Test,AerSim (IBM-Yonsei),HQCNN-EM,0.288227 ± 0.021166,92.8 ± 1.350926,0.298204 ± 0.038515,91.8 ± 0.67082,0.342997 ± 0.104342,90.1 ± 2.073644
Test,AerSim (IBM-Yonsei),QCNN with NN (zero-padded),,,,,0.55757 ± 0.107453,76.6 ± 9.996249
Test,AerSim (IBM-Yonsei),HQCNN-EZ (linear readout),,,,,0.63154 ± 0.013941,88.6 ± 4.827007
