,Model,Qubits,sim_iter_num,Dataset,Diff_mae_FakeGuadalupeV2,Diff_mae_AerSim,Diff_mse_FakeGuadalupeV2,Diff_mse_AerSim,Diff_rmse_FakeGuadalupeV2,Diff_rmse_AerSim,Diff_r-squared_FakeGuadalupeV2,Diff_r-squared_AerSim,Diff_adj r-squared_FakeGuadalupeV2,Diff_adj r-squared_AerSim
0,QCNN,4,0,Train,-0.07963549554347993,-0.07638354241847994,-0.07771723662679506,-0.07992169945249769,-0.08164921965034283,-0.08377785857060255,-0.39870767077571456,-0.41001708264747594,-0.4154953621767974,-0.4272809598115801
1,QCNN,4,0,Test,-0.08373685777187351,-0.08447265624999994,-0.09661465584504184,-0.10114099070851809,-0.09389674887541283,-0.09791351937544507,-0.7236050811562209,-0.7575055166292728,-0.9165664361312129,-0.9595069877304123
2,QCNN,4,1,Train,-0.04139257207512853,-0.051791492849588394,-0.04937977256291559,-0.06065307160119121,-0.05112012465034199,-0.0620859255002687,-0.2533298269023454,-0.31116449777584987,-0.26399634592981247,-0.3242661608400961
3,QCNN,4,1,Test,-0.07420894205570222,-0.08558927178382875,-0.07184031313736339,-0.08559032260309324,-0.07175437997510248,-0.08441999037695513,-0.538055175618761,-0.6410372400718616,-0.6815365557837638,-0.8119805040910246
4,QCNN,4,2,Train,-0.046554979681968645,-0.06996201574802396,-0.05134149134690233,-0.07542636372449121,-0.05440983967429153,-0.07798565382776607,-0.26339390484732284,-0.38695495492315635,-0.274484174525105,-0.4032477951304472
5,QCNN,4,2,Test,-0.06831054687499999,-0.08388671875000003,-0.07011071366287067,-0.09499527630250668,-0.06732257008132514,-0.08932980746019525,-0.5251011682048614,-0.7114765768930758,-0.6651281463928242,-0.9012036640645626
6,QCNN,4,3,Train,-0.04172290563583375,-0.06014111161231994,-0.044853408400049394,-0.06822120480097513,-0.04399228821121198,-0.06552740816773645,-0.23010851602216875,-0.3499907979786785,-0.23979729564415497,-0.3647272526304124
7,QCNN,4,3,Test,-0.061035156249999944,-0.07255859375000001,-0.06659475681735783,-0.09052891010505842,-0.061760459322428685,-0.08238167710432576,-0.4987680594618191,-0.6780252827130142,-0.6317728753183043,-0.8588320247698182
8,QCNN,4,4,Train,-0.040035315304994545,-0.04826453283429144,-0.05133823825741274,-0.057324116648560464,-0.05273210755242974,-0.05853182210253427,-0.26337721573446315,-0.2940861772785015,-0.27446678271275626,-0.3064687531639121
9,QCNN,4,4,Test,-0.06660156249999999,-0.07944641411304476,-0.0713493417497375,-0.08594111837810486,-0.07048194019955334,-0.08379437703493753,-0.5343779965440023,-0.6436645599440525,-0.6768787956224029,-0.8153084425957995
10,QCNN,8,0,Train,-0.09816721618175506,-0.06065745055675509,-0.12657872449100982,-0.07152772282366643,-0.099277677322675,-0.05797833208548131,-0.8571831795141325,-0.48438125064019477,-0.9325399425483418,-0.5269642177294425
11,QCNN,8,0,Test,-0.09121093749999998,-0.05161132812500002,-0.12686617213985307,-0.07387435263735825,-0.10874343801508102,-0.06574457428157954,-1.2664628428204043,-0.737463116247326,-2.1875267285079714,-1.2737999280635632
12,QCNN,8,1,Train,-0.11111695885658263,-0.10445068597793578,-0.13528176792198793,-0.1290611037943381,-0.10711047713988453,-0.10255510506597376,-0.9161196435179648,-0.8739936963884607,-0.9966576341569069,-0.9508283070599739
13,QCNN,8,1,Test,-0.10641956925392149,-0.09841175675392144,-0.12132530979033623,-0.11942727328678304,-0.10354443848162853,-0.10205435247926975,-1.2111502550400308,-1.1922027872830858,-2.0919868041600527,-2.0592593598526028
14,QCNN,8,2,Train,0.1072907567024231,-0.06743269026279453,0.1308937896624775,-0.10157239698615744,0.10420509503855047,-0.07096573852141241,0.8864045300875625,-0.6878418987833133,0.9643302030622931,-0.7483115162587697
15,QCNN,8,2,Test,0.11183125078678136,-0.06154652237892144,0.1351891597143549,-0.09083495724589735,0.11482047181161426,-0.0668369319572244,1.3495484623088112,-0.9067751965771764,2.331038253078855,-1.566248066815124
16,QCNN,8,3,Train,-0.02293090254068375,-0.07487528532743454,-0.022434328114250057,-0.08174136982936026,-0.02060410986339478,-0.07170729554130184,-0.15192386224907795,-0.5535474272625343,-0.16527980618306293,-0.6022109373515483
17,QCNN,8,3,Test,-0.02666015625000001,-0.07563476562499999,-0.03550252411187102,-0.0904923495018011,-0.0356262784706996,-0.0864049625591839,-0.35440990183305,-0.9033550573056752,-0.6121625577116316,-1.560340553527984
18,QCNN,8,4,Train,-0.08900393128395079,-0.08549227237701418,-0.11253933858530218,-0.10884135578449788,-0.08580646963037097,-0.08315502221698545,-0.7621093391237195,-0.7370668316428737,-0.8291079623433872,-0.801863915743346
19,QCNN,8,4,Test,-0.08271484374999999,-0.07491718828678134,-0.10285324659962503,-0.09433967522418246,-0.08437890056883057,-0.07781363037813449,-1.0267497858946597,-0.9417616316464845,-1.7734769029089579,-1.6266791819348372
20,HQCNN-EZ,4,0,Train,-0.0018382403883151488,-0.02416580015094949,0.0013638472451951052,-0.010354546398712881,0.003918484507598574,-0.02730095038805702,0.006996856579408295,-0.05312125412275004,0.007291461066962324,-0.05535793850686577
21,HQCNN-EZ,4,0,Test,-0.014073035493493077,-0.04264476755633949,-0.001643879690483751,-0.014365704970386698,-0.005577952119255075,-0.04322382997531482,-0.012312000559743241,-0.10759337721634554,-0.015595200709008106,-0.13628494447403772
22,HQCNN-EZ,4,1,Train,0.002573456671088936,0.010319248731248079,0.00039986824961697753,0.0023569884597437266,0.0014329019485946892,0.008671018322947116,0.0020514180038020413,0.012091904185199231,0.0021377934986989144,0.012601036992997083
23,HQCNN-EZ,4,1,Test,-0.03157798307947815,-0.02842324627563357,-0.01100751931240842,-0.009937127763316686,-0.04329183416594856,-0.03964997072513324,-0.08244191148555158,-0.07442510744091757,-0.10442642121503198,-0.09427180275849556
24,HQCNN-EZ,4,2,Train,-0.014884888294036502,-0.023606662847450943,-0.005203172696748019,-0.009798455429291211,-0.01506416809766517,-0.027390852894387835,-0.026693497563820223,-0.050268376887520616,-0.027817434303349486,-0.05238494012488992
25,HQCNN-EZ,4,2,Test,-0.027118408307433117,-0.03382088419748469,-0.008246223438061997,-0.010297351095153232,-0.02782962693310298,-0.03403858854339667,-0.06176091119862326,-0.07712303593828762,-0.07823048751825612,-0.09768917885516426
26,HQCNN-EZ,4,3,Train,-0.010987292486242944,-0.0008142350334674198,-0.005644499456680139,5.146281313282708e-06,-0.01592077188587762,1.5198667351695727e-05,-0.028957607459396018,2.6401631409322945e-05,-0.03017687514189693,2.7513279047708394e-05
27,HQCNN-EZ,4,3,Test,-0.04903453681617974,-0.023648546636104578,-0.020850086534593314,-0.008232094677011567,-0.0664305817112591,-0.029704134515585706,-0.15615879834190693,-0.06165509243647893,-0.1978011445664155,-0.07809645041953994
28,HQCNN-EZ,4,4,Train,-0.0006445948127657142,-0.006300549935549488,-0.0038601282803042564,-0.0021526120561760273,-0.010909736443828255,-0.0061665128667653946,-0.01980336438010899,-0.011043405250280802,-0.020637190248745108,-0.01150839073450316
29,HQCNN-EZ,4,4,Test,0.01087572323158384,0.024462447687983516,0.0006487970837170953,-0.0007760830808752513,0.002261198915644247,-0.002659216149992011,0.004859230334267273,-0.005812551478953765,0.0061550250900719305,-0.007362565206674665
30,HQCNN-EZ,8,0,Train,-0.0866640579130035,-0.06547907205298542,-0.04306668161188782,-0.029728311258551417,-0.08806821691340827,-0.06394652099566966,-0.2916448654672831,-0.20131825840922257,-0.31728397451935186,-0.2190165668408025
31,HQCNN-EZ,8,0,Test,0.0006999639794230406,0.023964208271354426,-0.0004104426454525009,0.007286888232899982,-0.0009141685960742663,0.016900482619175594,-0.004097312552328702,0.07274258402452449,-0.007077176226749637,0.12564628149690593
32,HQCNN-EZ,8,1,Train,-0.04069917279062793,-0.03757599569391459,-0.0217820138898763,-0.022858727676851653,-0.034375095818485246,-0.03598299571086444,-0.1475064312539448,-0.1547978694561981,-0.16047402960593993,-0.16840647336443537
33,HQCNN-EZ,8,1,Test,-0.008499938459135575,-0.02574221622198819,-0.01067248575982601,-0.013051462551460426,-0.02083424879753218,-0.02526011281241855,-0.10653987920790742,-0.13028841405938685,-0.18402342772274904,-0.2250436242843954
34,HQCNN-EZ,8,2,Train,-0.040224264678545285,-0.10500769857782871,-0.026225345674965483,-0.08211266717866675,-0.04451407483183628,-0.12299213804853082,-0.17759639528616633,-0.556061829613352,-0.19320926520143378,-0.6049463860628774
35,HQCNN-EZ,8,2,Test,-0.007432879554107791,-0.08367116958834234,-0.010069455186623832,-0.047990739749684805,-0.02008465817989591,-0.08478209859813168,-0.10052002536378446,-0.479075609102794,-0.17362549835562768,-0.827494233904826
36,HQCNN-EZ,8,3,Train,-0.03978205468156376,-0.028492495547980057,-0.02787953713863893,-0.020158987056300037,-0.04512925147024638,-0.03327048087039597,-0.18879847607864142,-0.13651539538092616,-0.20539614430533515,-0.14851674882100752
37,HQCNN-EZ,8,3,Test,-0.05358769586309792,-0.047236839029938,-0.023782193691209076,-0.026863706039335418,-0.04855979083155154,-0.054224592416271755,-0.23740973754194816,-0.26817145142334564,-0.41007136484518314,-0.463205234276688
38,HQCNN-EZ,8,4,Train,-0.058059996120864515,-0.03142830461962148,-0.025500196703948624,-0.01291824759278904,-0.05818499034007285,-0.03139527892315622,-0.1726857319571029,-0.08748156208608493,-0.18786689520607902,-0.09517224886288367
39,HQCNN-EZ,8,4,Test,0.014556368347257376,0.009921009489335109,-0.0007811909742514583,-0.0020436701096718524,-0.0018195615640441698,-0.004728115317635617,-0.007798369930681837,-0.020401279657345617,-0.013469911698450465,-0.035238573953596974
40,HQCNN-EM,4,0,Train,-0.0007979528908617778,0.003237293199636046,-0.00046811467921987343,-0.0009126228884214736,-0.0018476868312665984,-0.003577765295782881,-0.0024015382109369154,-0.004681969688223209,-0.0025026556092920815,-0.004879105254043115
41,HQCNN-EM,4,0,Test,0.007265772297978396,-0.013326715864241126,0.0018238506860767199,-0.0028090895417761507,0.00855492612701482,-0.012016739503043342,0.013659911244025769,-0.021038955716120133,0.017302554242432655,-0.02664934390708551
42,HQCNN-EM,4,1,Train,-0.02352439901558681,-0.014063984623644499,-0.011624313594865657,-0.009253173520368432,-0.037056467616843336,-0.030160662973460123,-0.05963545796193981,-0.047470952670461086,-0.06214642461296882,-0.04946972962500684
43,HQCNN-EM,4,1,Test,-0.0005412932019680655,-0.017208092054352156,-0.002879119070692408,-0.006203947607221311,-0.011335283359464515,-0.023324397701252914,-0.021563448843084698,-0.046465083092698256,-0.02731370186790727,-0.058855771917417865
44,HQCNN-EM,4,2,Train,-0.009487768667750057,0.006206834190525118,-0.005904836930775679,0.002483312258880977,-0.018023123748380332,0.008240291222097101,-0.03029319982497014,0.01273997493376966,-0.03156870297549519,0.013276394930981095
45,HQCNN-EM,4,2,Test,-0.010913625685498113,-0.009728757850825775,-0.0037914409050477937,-0.0003294929258589076,-0.014905195109183714,-0.0013681364941472984,-0.028396374026279925,-0.0024677700631561272,-0.035968740433288016,-0.003125842079997776
46,HQCNN-EM,4,3,Train,-0.002830934310914024,-0.003879614042234608,-0.0007315983881366374,-0.0013182027069373707,-0.0027540276232570216,-0.004922069008051866,-0.0037532714998341765,-0.006762689381470288,-0.003911303984037717,-0.007047434197532287
47,HQCNN-EM,4,3,Test,0.01654729954898357,-0.0007607320323586436,0.0044787548022149765,0.00030576588576860207,0.022853035697347368,0.0014062890263745187,0.03354407986851926,0.0022900640348112455,0.042489167833457686,0.002900747777427548
48,HQCNN-EM,4,4,Train,-0.01917350003495813,-0.029693207414820788,-0.006473511805782062,-0.010507821250677217,-0.02444153113508911,-0.03777238717444446,-0.03321063545036773,-0.05390759010003987,-0.03460897799564633,-0.05617738336740996
49,HQCNN-EM,4,4,Test,0.01319164403248578,0.014775872044265267,0.006448704404897591,0.004053559249871191,0.02658724263311625,0.01601426356103021,0.04829821348991403,0.030359535458875486,0.061177737087224515,0.03845541158124233
50,HQCNN-EM,8,0,Train,-0.03131664442596957,-0.038443930477369576,-0.015163406667233714,-0.01587243483844417,-0.04124030919177765,-0.04296690460739444,-0.10268563845583978,-0.10748713274018473,-0.1117129473310784,-0.11693655100305811
51,HQCNN-EM,8,0,Test,-0.014320762082934396,-0.0630244358908385,-0.0030447104233838965,-0.021359716549609747,-0.0073593275692954985,-0.04710331341543586,-0.030394332494819487,-0.21322695315057172,-0.05249930158196092,-0.3683011008964421
