Task,,Regression Task,Regression Task,Regression Task,Regression Task,Regression Task,Regression Task,Regression Task,Regression Task,Regression Task,Regression Task,Regression Task,Regression Task,Regression Task,Regression Task,Regression Task,Regression Task,Regression Task,Regression Task,Regression Task,Regression Task
Qubits,,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8
Device,,Diff. MAE (FakeGuadalupeV2),Diff. MAE (AerSim (IBM-Yonsei)),Diff. MSE (FakeGuadalupeV2),Diff. MSE (AerSim (IBM-Yonsei)),Diff. RMSE(FakeGuadalupeV2),Diff. RMSE (AerSim (IBM-Yonsei)),Diff. R-squared (FakeGuadalupeV2),Diff. R-squared (AerSim (IBM-Yonsei)),Diff. Adj. R-squared (FakeGuadalupeV2),Diff. Adj. R-squared (AerSim (IBM-Yonsei)),Diff. MAE (FakeGuadalupeV2),Diff. MAE (AerSim (IBM-Yonsei)),Diff. MSE (FakeGuadalupeV2),Diff. MSE (AerSim (IBM-Yonsei)),Diff. RMSE(FakeGuadalupeV2),Diff. RMSE (AerSim (IBM-Yonsei)),Diff. R-squared (FakeGuadalupeV2),Diff. R-squared (AerSim (IBM-Yonsei)),Diff. Adj. R-squared (FakeGuadalupeV2),Diff. Adj. R-squared (AerSim (IBM-Yonsei))
Dataset,Model,,,,,,,,,,,,,,,,,,,,
Train,QCNN,-0.0499 ± 0.0168,-0.0613 ± 0.0119,-0.0549 ± 0.013,-0.0683 ± 0.0095,-0.0568 ± 0.0145,-0.0696 ± 0.0108,-0.2818 ± 0.0668,-0.3504 ± 0.049,-0.2936 ± 0.0696,-0.3652 ± 0.0511,-0.0428 ± 0.0905,-0.0786 ± 0.0171,-0.0532 ± 0.1123,-0.0985 ± 0.0227,-0.0417 ± 0.0884,-0.0773 ± 0.0167,-0.3602 ± 0.7608,-0.6674 ± 0.1536,-0.3919 ± 0.8276,-0.726 ± 0.1671
Train,HQCNN-EZ,-0.0052 ± 0.0074,-0.0089 ± 0.0149,-0.0026 ± 0.0033,-0.004 ± 0.0058,-0.0073 ± 0.0094,-0.0104 ± 0.0163,-0.0133 ± 0.0167,-0.0205 ± 0.0297,-0.0138 ± 0.0174,-0.0213 ± 0.0309,-0.0531 ± 0.0203,-0.0536 ± 0.0323,-0.0289 ± 0.0082,-0.0336 ± 0.0278,-0.0541 ± 0.0208,-0.0575 ± 0.0389,-0.1956 ± 0.0558,-0.2272 ± 0.1883,-0.2128 ± 0.0607,-0.2472 ± 0.2048
Train,HQCNN-EM,-0.0112 ± 0.01,-0.0076 ± 0.0146,-0.005 ± 0.0046,-0.0039 ± 0.0057,-0.0168 ± 0.0149,-0.0136 ± 0.0194,-0.0259 ± 0.0237,-0.02 ± 0.0291,-0.0269 ± 0.0247,-0.0209 ± 0.0303,-0.0295 ± 0.0401,-0.042 ± 0.0702,-0.017 ± 0.0255,-0.0271 ± 0.0484,-0.0358 ± 0.0498,-0.0507 ± 0.0805,-0.1148 ± 0.1724,-0.1838 ± 0.3278,-0.1249 ± 0.1876,-0.2 ± 0.3567
Test,QCNN,-0.0708 ± 0.0086,-0.0812 ± 0.0054,-0.0753 ± 0.0121,-0.0916 ± 0.0066,-0.073 ± 0.0123,-0.0876 ± 0.0063,-0.564 ± 0.0905,-0.6863 ± 0.0491,-0.7144 ± 0.1147,-0.8694 ± 0.0622,-0.039 ± 0.0896,-0.0724 ± 0.0176,-0.0503 ± 0.1099,-0.0938 ± 0.0164,-0.0435 ± 0.0931,-0.0798 ± 0.0151,-0.5018 ± 1.0969,-0.9363 ± 0.1636,-0.8668 ± 1.8946,-1.6173 ± 0.2825
Test,HQCNN-EZ,-0.0222 ± 0.0223,-0.0208 ± 0.0263,-0.0082 ± 0.0085,-0.0087 ± 0.005,-0.0282 ± 0.028,-0.0299 ± 0.0161,-0.0616 ± 0.0637,-0.0653 ± 0.0373,-0.078 ± 0.0807,-0.0827 ± 0.0472,-0.0109 ± 0.0256,-0.0246 ± 0.0435,-0.0091 ± 0.0095,-0.0165 ± 0.0217,-0.0184 ± 0.0194,-0.0304 ± 0.0401,-0.0913 ± 0.0952,-0.165 ± 0.2168,-0.1577 ± 0.1644,-0.2851 ± 0.3744
Test,HQCNN-EM,0.0051 ± 0.0111,-0.0052 ± 0.0127,0.0012 ± 0.0045,-0.001 ± 0.0038,0.0064 ± 0.019,-0.0039 ± 0.0148,0.0091 ± 0.0335,-0.0075 ± 0.0285,0.0115 ± 0.0425,-0.0095 ± 0.0361,-0.0196 ± 0.0283,-0.0253 ± 0.0377,-0.0091 ± 0.0156,-0.0162 ± 0.0163,-0.0198 ± 0.034,-0.033 ± 0.0301,-0.0911 ± 0.1557,-0.1613 ± 0.1625,-0.1573 ± 0.269,-0.2787 ± 0.2807
