,Device,Qubits,Model,Model_spec,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CNOT/ECR error,Gate length (ns),MEASURE error
0,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000008,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
1,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000008,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
2,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000008,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
3,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,73.62676470116787,91.3560706160861,5.232411771679712,-0.3261728421337302,0.020344999999999988,0.033065,0.0076250000000000024,5351.11111111111,0.0003701721232174709,35.55555555555556,0.0,0.0003701721232174709,0.0003701721232174709,0.0104586240286989,389.6,0.020344999999999988
4,FakeGuadalupeV2,8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,71.96334875144967,90.25340681735958,5.238190734238173,-0.3261819847882669,0.020759999999999994,0.03334499999999999,0.008175000000000002,5351.11111111111,0.00041005031087450823,35.55555555555556,0.0,0.00041005031087450823,0.00041005031087450823,0.010600473694935112,391.0222222222222,0.020759999999999994
5,FakeGuadalupeV2,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,72.58802084244238,90.87989781321335,5.228901671886889,-0.3262070919398196,0.02029749999999999,0.032935,0.007660000000000003,5351.11111111111,0.0003727755638092769,35.55555555555556,0.0,0.0003727755638092769,0.0003727755638092769,0.010382937873899241,387.64444444444445,0.02029749999999999
6,AerSim with backend noise,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,256.97427640585624,52.660935601343326,4.841445050155921,-0.3084669118072314,0.015472412109375,0.017578125,0.01318359375,840.0,0.0002434351271680939,60.0,0.0,0.0002434351271680939,0.0002434351271680939,0.007269709009683145,636.0,0.015472412109375
7,AerSim with backend noise,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,262.65449699187104,156.87363254666934,4.747595767863307,-0.3097991415649545,0.006561279296875,0.010009765625,0.00439453125,840.0,0.00023283544264633438,60.0,0.0,0.00023283544264633438,0.00023283544264633438,0.006055378340005118,641.0,0.006561279296875
8,AerSim with backend noise,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,262.65449699187104,156.87363254666934,4.747595767863307,-0.3097991415649545,0.006561279296875,0.010009765625,0.00439453125,840.0,0.00023283544264633438,60.0,0.0,0.00023283544264633438,0.00023283544264633438,0.006055378340005118,641.0,0.006561279296875
9,AerSim with backend noise,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,265.19389988766403,175.93725419936274,4.798399795214896,-0.30957594697215907,0.0230926513671875,0.02064208984375,0.016455078125,840.0,0.00046777189238520443,60.0,0.0,0.00046777189238520443,0.00046777189238520443,0.010225833085586594,639.4,0.0230926513671875
10,AerSim with backend noise,8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,257.55454874928563,187.92869412074378,4.804694325674096,-0.30885032682395214,0.01668701171875,0.02012939453125,0.01533203125,840.0,0.00030238871167472187,60.0,0.0,0.00030238871167472187,0.00030238871167472187,0.006430202395507569,641.0,0.01668701171875
11,AerSim with backend noise,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,253.28256931090453,177.13094973340594,4.812620325625533,-0.3088496252188273,0.0151885986328125,0.01734619140625,0.01431884765625,840.0,0.0003312539494494583,60.0,0.0,0.0003312539494494583,0.0003312539494494583,0.00646927527950706,640.5,0.0151885986328125
