,Device,Qubits,Model,Model_spec,sim_iter_num,Dataset,MAE,MSE,RMSE,R-squared,Adj R-squared
0,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.33957412810996174,0.18594086513907906,0.43120860976919173,0.046079705617542044,0.00591464059091229
1,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.42315219417214395,0.22185091398830573,0.4710105242861413,-0.6615745014769212,-1.1046610352041002
2,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.3728158392198384,0.21087548223010028,0.459211805412383,-0.08184073434593664,-0.1273919231605023
3,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Test,0.40097779408097267,0.22076088313303935,0.4698519800246024,-0.6534106068939618,-1.094320102065685
4,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Train,0.3482639447040856,0.19004448889326025,0.43594092362757164,0.02502715228723784,-0.016024336037509856
5,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Test,0.43384555354714394,0.23433116400235612,0.4840776425351166,-0.7550465761355643,-1.2230589964383811
6,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Train,0.387931868750602,0.23729424301420887,0.4871285692855726,-0.21737517991037225,-0.2686330822223879
7,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Test,0.45249789729714396,0.25343960770740104,0.5034278575003582,-0.8981611671571881,-1.4043374783991047
8,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Train,0.37476727994158865,0.21365118613088863,0.46222417302742685,-0.09608074705200886,-0.14223151534893552
9,noiseless,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.3995493918657303,0.2175768922312958,0.46645138249478457,-0.629563790127859,-1.0641141341619544
10,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.42269595177844166,0.26742355466895473,0.5171301138678299,-0.3719456226247184,-0.4297117541036537
11,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.5007367081940174,0.31162734053984914,0.5582359183533868,-1.3339639837200425,-1.9563543793787206
12,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.4135653498955071,0.2580274877765137,0.5079640615009232,-0.3237415934062331,-0.37947808154965323
13,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Test,0.4708508409559727,0.2909133501267892,0.5393638383566228,-1.1788244908262158,-1.75984435504654
14,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Train,0.39964266927912834,0.24891722791703297,0.4989160529758819,-0.2770038213701813,-0.3307724033226098
15,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Test,0.49571078792214396,0.30535021228759013,0.5525850272017784,-1.2869508069025528,-1.8968043554099001
16,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Train,0.4300332781858742,0.2834365067404783,0.5323875531419553,-0.4540958263605923,-0.5153209137863013
17,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Test,0.514021334797144,0.3214853833186456,0.5669968106776665,-1.4077967762979466,-2.0498759166440657
18,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Train,0.41397625716403125,0.26119451489864015,0.5110719273239728,-0.3399891861147881,-0.3964097834248843
19,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.47016387060284615,0.29128303847726367,0.5397064373131598,-1.1815933085227424,-1.7633515241288067
20,AerSim with backend noise,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.41899582298472526,0.26740782618477765,0.5171149061715178,-0.37186493180807,-0.42962766577893596
21,AerSim with backend noise,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.5051800675690175,0.3172389540098042,0.5632396949876706,-1.3759927213357606,-2.00959078035863
22,AerSim with backend noise,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.4230878517217934,0.26963898312430185,0.5192677374190523,-0.3833112907511267,-0.4415559766774897
